Date,strategy_returns,cumulative,regime_vol,regime_dev,regime_hl,regime_coint,regime_hurst,regime_joint,half_life,hurst
2023-01-10,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,20.624161431531892,0.1642175076957757
2023-01-11,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,14.243073692232919,0.18280200593099624
2023-01-12,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,14.085812146436004,0.19604110107869982
2023-01-13,0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,12.611723714876417,0.2137037453919477
2023-01-17,0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,11.639976843952251,0.22990584350957752
2023-01-18,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,10.726432133993482,0.24082222695962285
2023-01-19,0.0,1.053262644989149,0.0,0.0,1.0,1.0,1.0,1.0,8.5671867296565,0.2481672720164298
2023-01-20,0.0,1.053262644989149,0.0,0.0,1.0,1.0,1.0,1.0,8.083089094544487,0.2696211195352554
2023-01-23,0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,8.088314727773591,0.2958053648186711
2023-01-24,0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,11.866347633835197,0.31445357589809597
2023-01-25,0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,12.627360934713733,0.3164954722043335
2023-01-26,0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,12.409455283283728,0.32422053418006647
2023-01-27,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,13.304549409927544,0.3342889442412035
2023-01-30,0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,10.71411333104395,0.34767827868873086
2023-01-31,0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,9.497905608539572,0.3486693149873358
2023-02-01,-0.0,1.053262644989149,0.0,1.0,1.0,0.0,1.0,1.0,8.35483048758127,0.34700912009485807
2023-02-02,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,8.027987682249506,0.3394287848991169
2023-02-03,-0.0,1.053262644989149,0.0,0.0,1.0,1.0,1.0,1.0,7.515597876657951,0.3336832228760272
2023-02-06,0.0,1.053262644989149,0.0,0.0,1.0,1.0,1.0,1.0,5.737346520657949,0.3226203607255329
2023-02-07,-0.0,1.053262644989149,0.0,0.0,0.0,1.0,1.0,0.0,4.806315026972558,0.3061721783172759
2023-02-08,-0.0,1.053262644989149,0.0,0.0,0.0,1.0,1.0,0.0,3.6473171312724584,0.289980215605869
2023-02-09,-0.0,1.053262644989149,0.0,0.0,0.0,1.0,1.0,0.0,4.783585770469339,0.299331055452718
2023-02-10,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,8.582090400958219,0.2806359037575754
2023-02-13,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,8.600882010720388,0.29077109645147986
2023-02-14,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,11.030218471325066,0.2944615856075669
2023-02-15,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,6.886955477434519,0.3065209764623326
2023-02-16,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,7.028225885040837,0.31366329775455
2023-02-17,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,7.475755061402184,0.32002010456360064
2023-02-21,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,8.600831043248888,0.3394300478099845
2023-02-22,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,6.661756223670075,0.3440968240204221
2023-02-23,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,8.117021595656958,0.3623459958363167
2023-02-24,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,8.614930759621473,0.37520971137323983
2023-02-27,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,8.813343485295606,0.3883300342368422
2023-02-28,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,10.194480145587919,0.4087913403069565
2023-03-01,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,14.123624481325441,0.42386605011176604
2023-03-02,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,11.785003098625454,0.4266179020893447
2023-03-03,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,13.26341902402184,0.4254798539482236
2023-03-06,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,13.743539156393682,0.42126224498355946
2023-03-07,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,15.250603372537448,0.4157700746634174
2023-03-08,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,10.257700661962383,0.4084868657895042
2023-03-09,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,10.685778493926492,0.40490257084592274
2023-03-10,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,11.664697602023749,0.4032626170894299
2023-03-13,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,12.524050349777678,0.4049681420292207
2023-03-14,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,13.767372991546225,0.40321107126932487
2023-03-15,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,12.484031045534515,0.40734032012446414
2023-03-16,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,11.426869961167695,0.41904388527004444
2023-03-17,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,13.983838656351278,0.4262964550125322
2023-03-20,0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,12.488067009162032,0.4345094009988543
2023-03-21,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,12.273327810778639,0.4462013168600942
2023-03-22,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,0.0,0.0,11.734541478073659,0.4610259966027533
2023-03-23,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,0.0,0.0,12.88452726773455,0.4618101971627829
2023-03-24,0.0,1.053262644989149,1.0,0.0,1.0,0.0,0.0,0.0,11.532479426003341,0.46566305552528314
2023-03-27,0.0,1.053262644989149,1.0,0.0,1.0,0.0,0.0,0.0,10.330115405063996,0.4676722660763928
2023-03-28,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,10.880945618185278,0.4685149426917729
2023-03-29,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,9.058054808380644,0.46676592991569904
2023-03-30,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.51911596316752,0.46540196022289526
2023-03-31,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,9.05233839001582,0.4664435634211214
2023-04-03,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.511235002372539,0.4657422907596879
2023-04-04,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.833016687903104,0.46526948366965915
2023-04-05,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.027919372811082,0.4663818053374539
2023-04-06,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.56021127244691,0.4730033456770649
2023-04-10,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.552446400560354,0.4774163795968649
2023-04-11,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.699893578105938,0.48184653919482867
2023-04-12,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.952414688061747,0.48673453016312695
2023-04-13,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.360376563540228,0.492712648322824
2023-04-14,-0.0,1.053262644989149,0.0,0.0,1.0,1.0,0.0,0.0,8.190777894512205,0.5019364618784041
2023-04-17,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,9.858719454995029,0.5061411507436948
2023-04-18,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,9.606101957550273,0.5298145842994636
2023-04-19,0.0,1.053262644989149,0.0,0.0,1.0,1.0,0.0,0.0,9.11333644036438,0.541668019474087
2023-04-20,0.0,1.053262644989149,0.0,0.0,1.0,0.0,0.0,0.0,8.006883933094816,0.5412570899262827
2023-04-21,0.0,1.053262644989149,0.0,0.0,1.0,1.0,0.0,0.0,8.26858375913772,0.5292659811603405
